Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,39.53,39.75,39.1,39.31,39.19,3446900
2019-04-02,39.34,39.66,39.13,39.58,39.46,3856100
2019-04-03,39.74,39.94,39.43,39.59,39.47,2995500
2019-04-04,39.62,40.3,39.62,40.12,40.0,1979900
2019-04-05,40.2,40.83,40.19,40.75,40.63,3161900
2019-04-08,40.64,40.93,40.37,40.85,40.73,1827400
2019-04-09,40.59,40.62,40.23,40.25,40.13,1575000
2019-04-10,40.29,40.42,40.14,40.41,40.29,2105400
2019-04-11,40.28,40.4,40.1,40.31,40.31,2579600
2019-04-12,40.51,40.72,40.23,40.46,40.46,2186800
2019-04-15,40.63,40.66,40.36,40.53,40.53,2298900
2019-04-16,40.67,40.72,40.33,40.47,40.47,2963100
2019-04-17,40.67,40.7,39.94,39.99,39.99,3123200
2019-04-18,40.03,40.16,39.77,40.04,40.04,4037500
2019-04-22,39.96,39.96,39.38,39.7,39.7,3053700
2019-04-23,39.64,40.24,39.64,39.99,39.99,4901800
2019-04-24,39.93,40.51,39.85,39.99,39.99,3705500
2019-04-25,39.12,39.15,37.5,37.5,37.5,9167100
