Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,130.71,131.35,129.05,129.05,129.05,5132300
2019-04-02,129.04,129.57,128.24,129.32,129.32,3214600
2019-04-03,129.11,129.25,126.84,127.05,127.05,4425300
2019-04-04,127.34,127.35,124.61,125.61,125.61,5539800
2019-04-05,126.49,127.01,125.61,126.99,126.99,4656400
2019-04-08,126.5,127.28,126.09,127.16,127.16,3430900
2019-04-09,126.76,128.12,126.6,127.24,127.24,4215600
2019-04-10,127.56,127.97,126.93,127.19,127.19,4227100
2019-04-11,126.86,127.32,124.51,125.15,125.15,5520700
2019-04-12,125.24,125.24,123.02,123.06,123.06,5470400
2019-04-15,123.77,124.35,123.16,124.08,124.08,4549100
2019-04-16,124.93,124.93,119.79,119.96,119.96,6573400
2019-04-17,120.0,120.06,115.89,116.5,116.5,14842800
2019-04-18,116.23,116.65,114.14,115.2,115.2,9805800
2019-04-22,115.04,115.57,113.65,115.47,115.47,7519700
2019-04-23,116.04,117.89,115.43,117.49,117.49,5891500
2019-04-24,118.29,118.43,117.23,118.0,118.0,4254100
2019-04-25,117.75,118.68,116.75,118.23,118.23,3425000
