Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,122.13,122.36,119.96,120.48,119.72,950700
2019-04-02,120.16,120.16,118.32,119.18,118.43,1374400
2019-04-03,119.98,119.98,118.0,118.45,117.71,1297900
2019-04-04,118.58,118.73,117.0,118.51,117.77,1063800
2019-04-05,118.86,119.39,118.42,118.98,118.23,1564800
2019-04-08,119.0,119.53,118.54,119.33,118.58,1185700
2019-04-09,118.06,118.25,116.91,117.03,117.03,779700
2019-04-10,117.12,117.66,116.07,117.01,117.01,789500
2019-04-11,116.99,117.5,115.81,116.35,116.35,1130200
2019-04-12,116.5,117.34,116.22,116.5,116.5,1039000
2019-04-15,116.44,116.5,115.56,115.85,115.85,853300
2019-04-16,116.3,116.74,114.76,115.74,115.74,879300
2019-04-17,115.66,115.87,113.82,114.42,114.42,1657700
2019-04-18,114.88,117.11,114.65,116.87,116.87,1632800
2019-04-22,116.37,117.29,116.25,116.82,116.82,1446100
2019-04-23,116.83,118.31,116.19,117.0,117.0,1395800
2019-04-24,116.96,118.48,116.74,117.93,117.93,828500
2019-04-25,117.84,119.6,117.62,119.15,119.15,1793700
