Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,59.82,61.37,59.79,61.24,61.24,2942500
2019-04-02,61.01,62.48,60.83,61.86,61.86,3908000
2019-04-03,62.43,63.0,61.51,61.72,61.72,5374000
2019-04-04,61.38,62.1,61.32,61.74,61.74,4380400
2019-04-05,61.66,62.14,61.24,61.65,61.65,3178500
2019-04-08,61.44,62.03,61.28,61.91,61.91,2201200
2019-04-09,61.46,61.75,60.81,61.07,61.07,2427900
2019-04-10,61.11,61.59,60.6,61.56,61.56,1693100
2019-04-11,61.85,62.43,61.62,61.98,61.98,1593400
2019-04-12,62.79,63.58,62.02,62.87,62.87,2675200
2019-04-15,62.73,63.0,61.91,62.12,62.12,2006200
2019-04-16,62.15,63.38,61.95,63.29,63.29,1686600
2019-04-17,63.65,64.02,62.88,63.77,63.77,2823900
2019-04-18,63.48,64.18,61.78,63.49,63.49,4269200
2019-04-22,63.31,63.69,62.72,63.35,63.35,2743900
2019-04-23,63.24,63.75,62.6,63.54,63.54,3800500
2019-04-24,63.38,64.02,62.92,63.82,63.82,1541000
2019-04-25,63.42,64.72,63.35,64.27,64.27,1539700
