Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,72.01,72.37,71.26,72.21,72.21,2226500
2019-04-02,72.44,73.26,71.95,73.14,73.14,2366100
2019-04-03,73.15,73.43,72.22,73.15,73.15,2467300
2019-04-04,73.15,73.15,72.31,72.85,72.85,1157400
2019-04-05,72.69,73.12,72.47,73.06,73.06,1182600
2019-04-08,73.1,73.19,72.46,72.89,72.89,1661100
2019-04-09,72.79,72.93,72.24,72.38,72.38,1654800
2019-04-10,72.75,73.58,72.42,73.56,73.56,2116400
2019-04-11,73.75,73.93,73.01,73.56,73.56,2075300
2019-04-12,73.51,74.44,73.0,74.43,74.43,2291200
2019-04-15,74.52,74.59,73.49,73.73,73.73,2403600
2019-04-16,73.73,73.94,72.2,72.77,72.77,3371200
2019-04-17,73.18,73.18,71.72,72.26,72.26,2842900
2019-04-18,72.32,73.69,72.24,73.57,73.57,2287300
2019-04-22,73.39,73.54,72.0,72.93,72.93,2587300
2019-04-23,73.24,74.43,73.23,74.2,74.2,2448800
2019-04-24,74.34,75.35,74.12,75.31,75.31,2197900
2019-04-25,74.8,75.66,74.51,75.46,75.46,1981300
